Date,Adj Close,Close,High,Low,Open,Volume
2021-08-02,6782.81591796875,7076.9501953125,7107.4501953125,7031.0,7100.0,433760
2021-08-03,6900.1767578125,7199.39990234375,7221.0,7086.10009765625,7124.9501953125,470570
2021-08-04,6807.6865234375,7102.89990234375,7248.60009765625,7003.5,7220.0,484122
2021-08-05,6778.41259765625,7027.5498046875,7079.9501953125,7006.0,7072.0,495133
2021-08-06,6849.06640625,7100.7998046875,7168.5,7042.5498046875,7054.7998046875,517575
2021-08-09,6830.69189453125,7081.75,7165.0,7038.0,7135.0,264983
2021-08-10,6753.720703125,7001.9501953125,7104.89990234375,6995.0,7045.2001953125,356726
2021-08-11,6772.57763671875,7021.5,7095.0,6925.14990234375,7002.0,414311
2021-08-12,6763.4140625,7012.0,7084.7998046875,6985.0,7022.0,330283
2021-08-13,6753.9619140625,7002.2001953125,7049.89990234375,6973.85009765625,7030.0,431784
2021-08-16,6584.82861328125,6826.85009765625,7018.0,6810.0,6982.5,750966
2021-08-17,6641.30224609375,6885.39990234375,6943.0,6746.39990234375,6800.0,752517
2021-08-18,6597.6083984375,6840.10009765625,6943.75,6820.0,6943.75,434144
2021-08-20,6608.025390625,6850.89990234375,6914.64990234375,6780.0,6815.0,657982
2021-08-23,6583.91162109375,6825.89990234375,6918.0,6801.0,6905.0,537302
2021-08-24,6562.0166015625,6803.2001953125,6852.0,6740.60009765625,6789.5,646993
2021-08-25,6473.51904296875,6711.4501953125,6838.0,6700.0,6838.0,722194
2021-08-26,6374.3154296875,6608.60009765625,6701.35009765625,6591.0,6700.0,1199429
2021-08-27,6389.98974609375,6624.85009765625,6694.60009765625,6600.0,6629.75,1428388
2021-08-30,6555.939453125,6796.89990234375,6810.0,6653.85009765625,6690.0,819447
2021-08-31,6603.3955078125,6846.10009765625,6872.0,6763.5498046875,6820.0,938326
2021-09-01,6544.365234375,6784.89990234375,6820.0,6702.35009765625,6799.9501953125,1108476
2021-09-02,6552.08154296875,6792.89990234375,6858.9501953125,6708.2001953125,6852.7001953125,741052
2021-09-03,6619.79296875,6863.10009765625,6958.0,6751.60009765625,6770.0,1196077
2021-09-06,6604.16748046875,6846.89990234375,6954.0,6838.0,6925.0,897444
2021-09-07,6633.34423828125,6877.14990234375,6929.89990234375,6853.7001953125,6879.89990234375,743783
2021-09-08,6540.8447265625,6781.25,6858.35009765625,6756.0,6852.10009765625,847767
2021-09-09,6561.10009765625,6802.25,6818.4501953125,6740.0,6750.0,515702
2021-09-13,6630.017578125,6873.7001953125,6895.4501953125,6813.2998046875,6835.5,508397
2021-09-14,6650.03173828125,6894.4501953125,6955.0,6851.10009765625,6910.0,817280
2021-09-15,6664.06591796875,6909.0,6938.0,6880.0,6938.0,310138
2021-09-16,6685.23828125,6930.9501953125,6949.0,6870.0,6913.2998046875,556648
2021-09-17,6765.77783203125,7014.4501953125,7064.75,6950.0,6955.0,980793
2021-09-20,6703.998046875,6950.39990234375,7015.4501953125,6906.2001953125,6979.89990234375,550405
2021-09-21,6536.7451171875,6777.0,6939.7001953125,6741.0,6912.5,1085249
2021-09-22,6588.8310546875,6831.0,6846.0,6785.0,6820.0,548623
2021-09-23,6603.974609375,6846.7001953125,6879.89990234375,6821.0,6868.0,432740
2021-09-24,6705.78271484375,6952.25,7037.7998046875,6848.0,6850.0,1649962
2021-09-27,7140.98681640625,7403.4501953125,7448.0,6974.0,6974.0,2646138
2021-09-28,7160.6640625,7423.85009765625,7521.5498046875,7333.5,7448.0,1346961
